year,season,district_name,mandal_name,crop,normal_area,actual_name
2016-2017,Rabi,Adilabad,Narnoor,Onions,0,0
2016-2017,Rabi,Adilabad,Gadiguda,Onions,0,3
2016-2017,Rabi,Adilabad,Boath,Onions,0,12
2016-2017,Rabi,Adilabad,Bazarhatnoor,Onions,0,15
2016-2017,Rabi,Adilabad,Neradigonda,Onions,0,1
2016-2017,Rabi,Adilabad,Bheempur,Onions,0,0
2016-2017,Rabi,Adilabad,Tamsi,Onions,0,0
2016-2017,Rabi,Adilabad,Talamadugu,Onions,1,2
2016-2017,Rabi,Adilabad,Adilabad (Rural),Other food crops,18,25
2016-2017,Rabi,Adilabad,Mavala,Other food crops,0,13
2016-2017,Rabi,Adilabad,Adilabad (Urban),Other food crops,0,0
2016-2017,Rabi,Adilabad,Jainath,Other food crops,30,25
2016-2017,Rabi,Adilabad,Bela,Other food crops,20,38
2016-2017,Rabi,Adilabad,Ichoda,Other food crops,62,23
2016-2017,Rabi,Adilabad,Srikonda,Other food crops,0,4
2016-2017,Rabi,Adilabad,Gudihathnoor,Other food crops,87,36
2016-2017,Rabi,Adilabad,Utnoor,Other food crops,80,38
2016-2017,Rabi,Adilabad,Inderavelly,Other food crops,3,26
2016-2017,Rabi,Adilabad,Narnoor,Other food crops,8,0
2016-2017,Rabi,Adilabad,Gadiguda,Other food crops,0,7
2016-2017,Rabi,Adilabad,Boath,Other food crops,36,50
2016-2017,Rabi,Adilabad,Bazarhatnoor,Other food crops,36,56
2016-2017,Rabi,Adilabad,Neradigonda,Other food crops,14,34
2016-2017,Rabi,Adilabad,Bheempur,Other food crops,0,4
2016-2017,Rabi,Adilabad,Tamsi,Other food crops,19,6
2016-2017,Rabi,Adilabad,Talamadugu,Other food crops,24,19
2016-2017,Rabi,Adilabad,Adilabad (Rural),Ground nut,28,78
2016-2017,Rabi,Adilabad,Mavala,Ground nut,0,32
2016-2017,Rabi,Adilabad,Adilabad (Urban),Ground nut,0,1
2016-2017,Rabi,Adilabad,Jainath,Ground nut,81,154
2016-2017,Rabi,Adilabad,Bela,Ground nut,31,25
2016-2017,Rabi,Adilabad,Ichoda,Ground nut,5,13
2016-2017,Rabi,Adilabad,Srikonda,Ground nut,0,43
2016-2017,Rabi,Adilabad,Gudihathnoor,Ground nut,25,25
2016-2017,Rabi,Adilabad,Utnoor,Ground nut,0,4
2016-2017,Rabi,Adilabad,Inderavelly,Ground nut,0,6
