year,season,district_name,mandal_name,crop,normal_area,actual_area
2016-2017,Kharif,Adilabad,Tamsi,Black Gram,92,112
2016-2017,Kharif,Adilabad,Talamadugu,Black Gram,46,164
2016-2017,Kharif,Adilabad,Boath,Black Gram,208,175
2016-2017,Kharif,Adilabad,Bazarhathnoor,Black Gram,265,40
2016-2017,Kharif,Adilabad,Neradigonda,Black Gram,132,202
2016-2017,Kharif,Adilabad,Utnoor,Black Gram,558,515
2016-2017,Kharif,Adilabad,Inderavelly,Black Gram,315,272
2016-2017,Kharif,Adilabad,Narnoor,Black Gram,378,345
2016-2017,Kharif,Adilabad,Gadiguda,Black Gram,378,107
2016-2017,Kharif,Adilabad,Adilabad R,Red Gram,2046,2550
2016-2017,Kharif,Adilabad,Adilabad U,Red Gram,0,32
2016-2017,Kharif,Adilabad,Mavala,Red Gram,0,135
2016-2017,Kharif,Adilabad,Jainad,Red Gram,1337,2936
2016-2017,Kharif,Adilabad,Bela,Red Gram,1463,2126
2016-2017,Kharif,Adilabad,Ichoda,Red Gram,1059,1107
2016-2017,Kharif,Adilabad,Sirikonda,Red Gram,0,605
2016-2017,Kharif,Adilabad,Gudihathnoor,Red Gram,626,1880
2016-2017,Kharif,Adilabad,Bheempur,Red Gram,0,1492
2016-2017,Kharif,Adilabad,Tamsi,Red Gram,1634,968
2016-2017,Kharif,Adilabad,Talamadugu,Red Gram,1064,110
2016-2017,Kharif,Adilabad,Boath,Red Gram,842,805
2016-2017,Kharif,Adilabad,Bazarhathnoor,Red Gram,1065,1400
2016-2017,Kharif,Adilabad,Neradigonda,Red Gram,668,1030
2016-2017,Kharif,Adilabad,Utnoor,Red Gram,1318,1642
2016-2017,Kharif,Adilabad,Inderavelly,Red Gram,1005,704
2016-2017,Kharif,Adilabad,Narnoor,Red Gram,1142,545
2016-2017,Kharif,Adilabad,Gadiguda,Red Gram,1142,733
2016-2017,Kharif,Adilabad,Adilabad R,Cow Gram,0,0
2016-2017,Kharif,Adilabad,Adilabad U,Cow Gram,0,0
2016-2017,Kharif,Adilabad,Mavala,Cow Gram,0,0
2016-2017,Kharif,Adilabad,Jainad,Cow Gram,0,0
2016-2017,Kharif,Adilabad,Bela,Cow Gram,0,0
2016-2017,Kharif,Adilabad,Ichoda,Cow Gram,0,0
2016-2017,Kharif,Adilabad,Sirikonda,Cow Gram,0,0
2016-2017,Kharif,Adilabad,Gudihathnoor,Cow Gram,0,0
2016-2017,Kharif,Adilabad,Bheempur,Cow Gram,0,0
2016-2017,Kharif,Adilabad,Tamsi,Cow Gram,0,0
2016-2017,Kharif,Adilabad,Talamadugu,Cow Gram,5,13
2016-2017,Kharif,Adilabad,Boath,Cow Gram,0,3
2016-2017,Kharif,Adilabad,Bazarhathnoor,Cow Gram,0,0
2016-2017,Kharif,Adilabad,Neradigonda,Cow Gram,0,0
2016-2017,Kharif,Adilabad,Utnoor,Cow Gram,2,6
2016-2017,Kharif,Adilabad,Inderavelly,Cow Gram,2,5
2016-2017,Kharif,Adilabad,Narnoor,Cow Gram,5,5
2016-2017,Kharif,Adilabad,Gadiguda,Cow Gram,5,0
2016-2017,Kharif,Adilabad,Adilabad R,Other Pulses,0,0
2016-2017,Kharif,Adilabad,Adilabad U,Other Pulses,0,0
2016-2017,Kharif,Adilabad,Mavala,Other Pulses,0,0
2016-2017,Kharif,Adilabad,Jainad,Other Pulses,0,0
2016-2017,Kharif,Adilabad,Bela,Other Pulses,0,0
2016-2017,Kharif,Adilabad,Ichoda,Other Pulses,0,0
2016-2017,Kharif,Adilabad,Sirikonda,Other Pulses,0,0
2016-2017,Kharif,Adilabad,Gudihathnoor,Other Pulses,0,0
2016-2017,Kharif,Adilabad,Bheempur,Other Pulses,0,0
2016-2017,Kharif,Adilabad,Tamsi,Other Pulses,0,0
2016-2017,Kharif,Adilabad,Talamadugu,Other Pulses,0,0
2016-2017,Kharif,Adilabad,Boath,Other Pulses,0,0
2016-2017,Kharif,Adilabad,Bazarhathnoor,Other Pulses,0,0
2016-2017,Kharif,Adilabad,Neradigonda,Other Pulses,0,0
2016-2017,Kharif,Adilabad,Utnoor,Other Pulses,0,0
2016-2017,Kharif,Adilabad,Inderavelly,Other Pulses,0,3
2016-2017,Kharif,Adilabad,Narnoor,Other Pulses,0,0
2016-2017,Kharif,Adilabad,Gadiguda,Other Pulses,0,0
2016-2017,Kharif,Adilabad,Adilabad R,Chillies,16,0
2016-2017,Kharif,Adilabad,Adilabad U,Chillies,0,61
2016-2017,Kharif,Adilabad,Mavala,Chillies,0,6
2016-2017,Kharif,Adilabad,Jainad,Chillies,5,10
2016-2017,Kharif,Adilabad,Bela,Chillies,33,7
2016-2017,Kharif,Adilabad,Ichoda,Chillies,14,90
2016-2017,Kharif,Adilabad,Sirikonda,Chillies,0,2
2016-2017,Kharif,Adilabad,Gudihathnoor,Chillies,9,0
2016-2017,Kharif,Adilabad,Bheempur,Chillies,0,2
2016-2017,Kharif,Adilabad,Tamsi,Chillies,13,2
2016-2017,Kharif,Adilabad,Talamadugu,Chillies,23,12
2016-2017,Kharif,Adilabad,Boath,Chillies,38,5
2016-2017,Kharif,Adilabad,Bazarhathnoor,Chillies,4,0
2016-2017,Kharif,Adilabad,Neradigonda,Chillies,2,21
2016-2017,Kharif,Adilabad,Utnoor,Chillies,0,15
2016-2017,Kharif,Adilabad,Inderavelly,Chillies,11,5
2016-2017,Kharif,Adilabad,Narnoor,Chillies,6,14
2016-2017,Kharif,Adilabad,Gadiguda,Chillies,6,14
2016-2017,Kharif,Adilabad,Adilabad R,Turmeric,0,0
2016-2017,Kharif,Adilabad,Adilabad U,Turmeric,0,14
2016-2017,Kharif,Adilabad,Mavala,Turmeric,0,0
2016-2017,Kharif,Adilabad,Jainad,Turmeric,1,14
2016-2017,Kharif,Adilabad,Bela,Turmeric,0,5
2016-2017,Kharif,Adilabad,Ichoda,Turmeric,1,14
2016-2017,Kharif,Adilabad,Sirikonda,Turmeric,0,1
2016-2017,Kharif,Adilabad,Gudihathnoor,Turmeric,0,0
2016-2017,Kharif,Adilabad,Bheempur,Turmeric,0,42
2016-2017,Kharif,Adilabad,Tamsi,Turmeric,0,35
2016-2017,Kharif,Adilabad,Talamadugu,Turmeric,0,20
2016-2017,Kharif,Adilabad,Boath,Turmeric,9,8
2016-2017,Kharif,Adilabad,Bazarhathnoor,Turmeric,0,0
2016-2017,Kharif,Adilabad,Neradigonda,Turmeric,6,21
2016-2017,Kharif,Adilabad,Utnoor,Turmeric,0,4
2016-2017,Kharif,Adilabad,Inderavelly,Turmeric,0,0
2016-2017,Kharif,Adilabad,Narnoor,Turmeric,0,0
2016-2017,Kharif,Adilabad,Gadiguda,Turmeric,0,0
2016-2017,Kharif,Adilabad,Adilabad R,Sugarcane,0,0
2016-2017,Kharif,Adilabad,Adilabad U,Sugarcane,0,0
2016-2017,Kharif,Adilabad,Mavala,Sugarcane,0,0
2016-2017,Kharif,Adilabad,Jainad,Sugarcane,1,0
2016-2017,Kharif,Adilabad,Bela,Sugarcane,0,0
2016-2017,Kharif,Adilabad,Ichoda,Sugarcane,0,0
2016-2017,Kharif,Adilabad,Sirikonda,Sugarcane,0,0
2016-2017,Kharif,Adilabad,Gudihathnoor,Sugarcane,0,0
2016-2017,Kharif,Adilabad,Bheempur,Sugarcane,0,0
2016-2017,Kharif,Adilabad,Tamsi,Sugarcane,0,0
2016-2017,Kharif,Adilabad,Talamadugu,Sugarcane,0,0
2016-2017,Kharif,Adilabad,Boath,Sugarcane,0,0
2016-2017,Kharif,Adilabad,Bazarhathnoor,Sugarcane,0,0
2016-2017,Kharif,Adilabad,Neradigonda,Sugarcane,0,0
2016-2017,Kharif,Adilabad,Utnoor,Sugarcane,0,1
2016-2017,Kharif,Adilabad,Inderavelly,Sugarcane,0,1
2016-2017,Kharif,Adilabad,Narnoor,Sugarcane,0,6
2016-2017,Kharif,Adilabad,Gadiguda,Sugarcane,0,6
2016-2017,Kharif,Adilabad,Adilabad R,Onions,0,0
2016-2017,Kharif,Adilabad,Adilabad U,Onions,0,0
2016-2017,Kharif,Adilabad,Mavala,Onions,0,0
2016-2017,Kharif,Adilabad,Jainad,Onions,0,0
2016-2017,Kharif,Adilabad,Bela,Onions,0,0
2016-2017,Kharif,Adilabad,Ichoda,Onions,0,4
2016-2017,Kharif,Adilabad,Sirikonda,Onions,0,0
2016-2017,Kharif,Adilabad,Gudihathnoor,Onions,0,0
2016-2017,Kharif,Adilabad,Bheempur,Onions,0,0
2016-2017,Kharif,Adilabad,Tamsi,Onions,0,0
2016-2017,Kharif,Adilabad,Talamadugu,Onions,0,0
2016-2017,Kharif,Adilabad,Boath,Onions,0,0
2016-2017,Kharif,Adilabad,Bazarhathnoor,Onions,0,0
2016-2017,Kharif,Adilabad,Neradigonda,Onions,0,0
2016-2017,Kharif,Adilabad,Utnoor,Onions,0,0
2016-2017,Kharif,Adilabad,Inderavelly,Onions,0,0
2016-2017,Kharif,Adilabad,Narnoor,Onions,0,0
2016-2017,Kharif,Adilabad,Gadiguda,Onions,0,0
2016-2017,Kharif,Adilabad,Adilabad R,Other Food Crops,183,147
2016-2017,Kharif,Adilabad,Adilabad U,Other Food Crops,0,0
2016-2017,Kharif,Adilabad,Mavala,Other Food Crops,0,41
2016-2017,Kharif,Adilabad,Jainad,Other Food Crops,37,19
2016-2017,Kharif,Adilabad,Bela,Other Food Crops,60,45
2016-2017,Kharif,Adilabad,Ichoda,Other Food Crops,354,372
2016-2017,Kharif,Adilabad,Sirikonda,Other Food Crops,0,6
2016-2017,Kharif,Adilabad,Gudihathnoor,Other Food Crops,974,0
2016-2017,Kharif,Adilabad,Bheempur,Other Food Crops,0,12
2016-2017,Kharif,Adilabad,Tamsi,Other Food Crops,16,18
2016-2017,Kharif,Adilabad,Talamadugu,Other Food Crops,94,47
2016-2017,Kharif,Adilabad,Boath,Other Food Crops,74,60
2016-2017,Kharif,Adilabad,Bazarhathnoor,Other Food Crops,129,8
2016-2017,Kharif,Adilabad,Neradigonda,Other Food Crops,53,70
2016-2017,Kharif,Adilabad,Utnoor,Other Food Crops,651,401
2016-2017,Kharif,Adilabad,Inderavelly,Other Food Crops,1294,1157
2016-2017,Kharif,Adilabad,Narnoor,Other Food Crops,71,166
2016-2017,Kharif,Adilabad,Gadiguda,Other Food Crops,71,101
2016-2017,Kharif,Adilabad,Adilabad R,Cotton,11701,8845
2016-2017,Kharif,Adilabad,Adilabad U,Cotton,0,59
2016-2017,Kharif,Adilabad,Mavala,Cotton,0,777
2016-2017,Kharif,Adilabad,Jainad,Cotton,14849,11753
2016-2017,Kharif,Adilabad,Bela,Cotton,11326,9925
2016-2017,Kharif,Adilabad,Ichoda,Cotton,9226,6909
2016-2017,Kharif,Adilabad,Sirikonda,Cotton,0,2503
2016-2017,Kharif,Adilabad,Gudihathnoor,Cotton,6786,4300
2016-2017,Kharif,Adilabad,Bheempur,Cotton,0,5785
2016-2017,Kharif,Adilabad,Tamsi,Cotton,13796,3862
2016-2017,Kharif,Adilabad,Talamadugu,Cotton,12007,11820
2016-2017,Kharif,Adilabad,Boath,Cotton,9991,7860
2016-2017,Kharif,Adilabad,Bazarhathnoor,Cotton,6937,6082
2016-2017,Kharif,Adilabad,Neradigonda,Cotton,6032,4395
2016-2017,Kharif,Adilabad,Utnoor,Cotton,6906,7000
2016-2017,Kharif,Adilabad,Inderavelly,Cotton,8424,6050
2016-2017,Kharif,Adilabad,Narnoor,Cotton,10717,4054
2016-2017,Kharif,Adilabad,Gadiguda,Cotton,10717,6202
2016-2017,Kharif,Adilabad,Adilabad R,Groundnut,0,0
2016-2017,Kharif,Adilabad,Adilabad U,Groundnut,0,0
2016-2017,Kharif,Adilabad,Mavala,Groundnut,0,0
2016-2017,Kharif,Adilabad,Jainad,Groundnut,0,0
2016-2017,Kharif,Adilabad,Bela,Groundnut,0,0
2016-2017,Kharif,Adilabad,Ichoda,Groundnut,0,0
2016-2017,Kharif,Adilabad,Sirikonda,Groundnut,0,0
2016-2017,Kharif,Adilabad,Gudihathnoor,Groundnut,0,0
2016-2017,Kharif,Adilabad,Bheempur,Groundnut,0,0
2016-2017,Kharif,Adilabad,Tamsi,Groundnut,0,0
2016-2017,Kharif,Adilabad,Talamadugu,Groundnut,0,0
2016-2017,Kharif,Adilabad,Boath,Groundnut,0,0
2016-2017,Kharif,Adilabad,Bazarhathnoor,Groundnut,0,0
2016-2017,Kharif,Adilabad,Neradigonda,Groundnut,0,0
2016-2017,Kharif,Adilabad,Utnoor,Groundnut,0,0
2016-2017,Kharif,Adilabad,Inderavelly,Groundnut,0,0
2016-2017,Kharif,Adilabad,Narnoor,Groundnut,0,0
2016-2017,Kharif,Adilabad,Gadiguda,Groundnut,0,0
2016-2017,Kharif,Adilabad,Adilabad R,Sesamum,20,0
2016-2017,Kharif,Adilabad,Adilabad U,Sesamum,0,0
2016-2017,Kharif,Adilabad,Mavala,Sesamum,0,0
2016-2017,Kharif,Adilabad,Jainad,Sesamum,0,0
2016-2017,Kharif,Adilabad,Bela,Sesamum,3,3
2016-2017,Kharif,Adilabad,Ichoda,Sesamum,1,5
2016-2017,Kharif,Adilabad,Sirikonda,Sesamum,0,0
2016-2017,Kharif,Adilabad,Gudihathnoor,Sesamum,14,0
2016-2017,Kharif,Adilabad,Bheempur,Sesamum,0,0
2016-2017,Kharif,Adilabad,Tamsi,Sesamum,3,0
2016-2017,Kharif,Adilabad,Talamadugu,Sesamum,20,0
2016-2017,Kharif,Adilabad,Boath,Sesamum,5,0
2016-2017,Kharif,Adilabad,Bazarhathnoor,Sesamum,0,0
2016-2017,Kharif,Adilabad,Neradigonda,Sesamum,0,0
2016-2017,Kharif,Adilabad,Utnoor,Sesamum,3,6
2016-2017,Kharif,Adilabad,Inderavelly,Sesamum,2,0
2016-2017,Kharif,Adilabad,Narnoor,Sesamum,50,26
2016-2017,Kharif,Adilabad,Gadiguda,Sesamum,50,9
2016-2017,Kharif,Adilabad,Adilabad R,Sunflower,0,0
2016-2017,Kharif,Adilabad,Adilabad U,Sunflower,0,0
2016-2017,Kharif,Adilabad,Mavala,Sunflower,0,0
2016-2017,Kharif,Adilabad,Jainad,Sunflower,0,0
2016-2017,Kharif,Adilabad,Bela,Sunflower,0,0
2016-2017,Kharif,Adilabad,Ichoda,Sunflower,0,0
2016-2017,Kharif,Adilabad,Sirikonda,Sunflower,0,0
2016-2017,Kharif,Adilabad,Gudihathnoor,Sunflower,0,0
2016-2017,Kharif,Adilabad,Bheempur,Sunflower,0,0
2016-2017,Kharif,Adilabad,Tamsi,Sunflower,0,0
2016-2017,Kharif,Adilabad,Talamadugu,Sunflower,0,0
2016-2017,Kharif,Adilabad,Boath,Sunflower,0,0
2016-2017,Kharif,Adilabad,Bazarhathnoor,Sunflower,0,0
2016-2017,Kharif,Adilabad,Neradigonda,Sunflower,0,0
2016-2017,Kharif,Adilabad,Utnoor,Sunflower,0,0
2016-2017,Kharif,Adilabad,Inderavelly,Sunflower,0,0
2016-2017,Kharif,Adilabad,Narnoor,Sunflower,0,0
2016-2017,Kharif,Adilabad,Gadiguda,Sunflower,0,0
2016-2017,Kharif,Adilabad,Adilabad R,Castor,0,0
2016-2017,Kharif,Adilabad,Adilabad U,Castor,0,0
2016-2017,Kharif,Adilabad,Mavala,Castor,0,0
2016-2017,Kharif,Adilabad,Jainad,Castor,0,0
2016-2017,Kharif,Adilabad,Bela,Castor,0,0
2016-2017,Kharif,Adilabad,Ichoda,Castor,0,0
2016-2017,Kharif,Adilabad,Sirikonda,Castor,0,0
2016-2017,Kharif,Adilabad,Gudihathnoor,Castor,0,0
2016-2017,Kharif,Adilabad,Bheempur,Castor,0,0
2016-2017,Kharif,Adilabad,Tamsi,Castor,0,0
2016-2017,Kharif,Adilabad,Talamadugu,Castor,0,0
2016-2017,Kharif,Adilabad,Boath,Castor,0,0
2016-2017,Kharif,Adilabad,Bazarhathnoor,Castor,0,0
2016-2017,Kharif,Adilabad,Neradigonda,Castor,0,0
2016-2017,Kharif,Adilabad,Utnoor,Castor,3,8
2016-2017,Kharif,Adilabad,Inderavelly,Castor,5,2
2016-2017,Kharif,Adilabad,Narnoor,Castor,39,27
2016-2017,Kharif,Adilabad,Gadiguda,Castor,39,52
2016-2017,Kharif,Adilabad,Adilabad R,Soyabean,1088,1545
2016-2017,Kharif,Adilabad,Adilabad U,Soyabean,0,0
2016-2017,Kharif,Adilabad,Mavala,Soyabean,0,128
2016-2017,Kharif,Adilabad,Jainad,Soyabean,4385,6007
2016-2017,Kharif,Adilabad,Bela,Soyabean,1975,3105
2016-2017,Kharif,Adilabad,Ichoda,Soyabean,2844,3220
2016-2017,Kharif,Adilabad,Sirikonda,Soyabean,0,1210
2016-2017,Kharif,Adilabad,Gudihathnoor,Soyabean,1274,3650
2016-2017,Kharif,Adilabad,Bheempur,Soyabean,0,3069
2016-2017,Kharif,Adilabad,Tamsi,Soyabean,1445,1276
2016-2017,Kharif,Adilabad,Talamadugu,Soyabean,347,718
2016-2017,Kharif,Adilabad,Boath,Soyabean,3974,4800
2016-2017,Kharif,Adilabad,Bazarhathnoor,Soyabean,3437,4288
2016-2017,Kharif,Adilabad,Neradigonda,Soyabean,1796,3285
2016-2017,Kharif,Adilabad,Utnoor,Soyabean,3936,3250
2016-2017,Kharif,Adilabad,Inderavelly,Soyabean,4097,4585
2016-2017,Kharif,Adilabad,Narnoor,Soyabean,4031,2137
2016-2017,Kharif,Adilabad,Gadiguda,Soyabean,4031,1609
2016-2017,Kharif,Adilabad,Adilabad R,Other Oil Seeds,0,0
2016-2017,Kharif,Adilabad,Adilabad U,Other Oil Seeds,0,0
2016-2017,Kharif,Adilabad,Mavala,Other Oil Seeds,0,0
2016-2017,Kharif,Adilabad,Jainad,Other Oil Seeds,0,0
2016-2017,Kharif,Adilabad,Bela,Other Oil Seeds,0,0
2016-2017,Kharif,Adilabad,Ichoda,Other Oil Seeds,0,0
2016-2017,Kharif,Adilabad,Sirikonda,Other Oil Seeds,0,0
2016-2017,Kharif,Adilabad,Gudihathnoor,Other Oil Seeds,0,0
2016-2017,Kharif,Adilabad,Bheempur,Other Oil Seeds,0,0
2016-2017,Kharif,Adilabad,Tamsi,Other Oil Seeds,0,0
2016-2017,Kharif,Adilabad,Talamadugu,Other Oil Seeds,0,0
2016-2017,Kharif,Adilabad,Boath,Other Oil Seeds,0,0
2016-2017,Kharif,Adilabad,Bazarhathnoor,Other Oil Seeds,0,0
2016-2017,Kharif,Adilabad,Neradigonda,Other Oil Seeds,0,0
2016-2017,Kharif,Adilabad,Utnoor,Other Oil Seeds,0,0
2016-2017,Kharif,Adilabad,Inderavelly,Other Oil Seeds,0,0
2016-2017,Kharif,Adilabad,Narnoor,Other Oil Seeds,0,0
2016-2017,Kharif,Adilabad,Gadiguda,Other Oil Seeds,0,0
2016-2017,Kharif,Adilabad,Adilabad R,Tobacco,0,0
2016-2017,Kharif,Adilabad,Adilabad U,Tobacco,0,0
2016-2017,Kharif,Adilabad,Mavala,Tobacco,0,0
2016-2017,Kharif,Adilabad,Jainad,Tobacco,0,0
2016-2017,Kharif,Adilabad,Bela,Tobacco,0,0
2016-2017,Kharif,Adilabad,Ichoda,Tobacco,0,0
2016-2017,Kharif,Adilabad,Sirikonda,Tobacco,0,0
2016-2017,Kharif,Adilabad,Gudihathnoor,Tobacco,0,0
2016-2017,Kharif,Adilabad,Bheempur,Tobacco,0,0
2016-2017,Kharif,Adilabad,Tamsi,Tobacco,0,0
2016-2017,Kharif,Adilabad,Talamadugu,Tobacco,0,0
2016-2017,Kharif,Adilabad,Boath,Tobacco,0,0
2016-2017,Kharif,Adilabad,Bazarhathnoor,Tobacco,0,0
2016-2017,Kharif,Adilabad,Neradigonda,Tobacco,0,0
2016-2017,Kharif,Adilabad,Utnoor,Tobacco,0,0
2016-2017,Kharif,Adilabad,Inderavelly,Tobacco,0,0
2016-2017,Kharif,Adilabad,Narnoor,Tobacco,0,0
2016-2017,Kharif,Adilabad,Gadiguda,Tobacco,0,0
2016-2017,Kharif,Adilabad,Adilabad R,Other Non-Food Crops,0,0
2016-2017,Kharif,Adilabad,Adilabad U,Other Non-Food Crops,0,10
2016-2017,Kharif,Adilabad,Mavala,Other Non-Food Crops,0,2
2016-2017,Kharif,Adilabad,Jainad,Other Non-Food Crops,1,8
2016-2017,Kharif,Adilabad,Bela,Other Non-Food Crops,0,0
2016-2017,Kharif,Adilabad,Ichoda,Other Non-Food Crops,0,0
2016-2017,Kharif,Adilabad,Sirikonda,Other Non-Food Crops,0,1
2016-2017,Kharif,Adilabad,Gudihathnoor,Other Non-Food Crops,0,0
2016-2017,Kharif,Adilabad,Bheempur,Other Non-Food Crops,0,0
2016-2017,Kharif,Adilabad,Tamsi,Other Non-Food Crops,0,0
2016-2017,Kharif,Adilabad,Talamadugu,Other Non-Food Crops,0,0
2016-2017,Kharif,Adilabad,Boath,Other Non-Food Crops,0,0
2016-2017,Kharif,Adilabad,Bazarhathnoor,Other Non-Food Crops,0,0
2016-2017,Kharif,Adilabad,Neradigonda,Other Non-Food Crops,0,0
2016-2017,Kharif,Adilabad,Utnoor,Other Non-Food Crops,1,4
2016-2017,Kharif,Adilabad,Inderavelly,Other Non-Food Crops,0,3
2016-2017,Kharif,Adilabad,Narnoor,Other Non-Food Crops,0,2
2016-2017,Kharif,Adilabad,Gadiguda,Other Non-Food Crops,0,2
2016-2017,Kharif,Adilabad,Adilabad R,Gross Area Sown,16377,14562
2016-2017,Kharif,Adilabad,Adilabad U,Gross Area,0,189
2016-2017,Kharif,Adilabad,Mavala,Gross Area,0,1140
2016-2017,Kharif,Adilabad,Jainad,Gross Area,21410,21604
2016-2017,Kharif,Adilabad,Bela,Gross Area,15828,16727
2016-2017,Kharif,Adilabad,Ichoda,Gross Area,14878,13301
2016-2017,Kharif,Adilabad,Sirikonda,Gross Area,0,5037
2016-2017,Kharif,Adilabad,Gudihathnoor,Gross Area,10694,11425
2016-2017,Kharif,Adilabad,Bheempur,Gross Area,14,11001
2016-2017,Kharif,Adilabad,Tamsi,Gross Area,18321,7738
2016-2017,Kharif,Adilabad,Talamadugu,Gross Area,14299,13686
2016-2017,Kharif,Adilabad,Boath,Gross Area,15590,14221
2016-2017,Kharif,Adilabad,Bazarhathnoor,Gross Area,12352,12211
2016-2017,Kharif,Adilabad,Neradigonda,Gross Area,9110,9592
2016-2017,Kharif,Adilabad,Utnoor,Gross Area,15668,16864
2016-2017,Kharif,Adilabad,Inderavelly,Gross Area,17240,15824
2016-2017,Kharif,Adilabad,Narnoor,Gross Area,18321,9373
2016-2017,Kharif,Adilabad,Gadiguda,Gross Area,0,9138
