year,season,district_name,mandal_name,crop,normal_area,actual_area
2017-2018,Kharif,Adilabad,Srikonda,Sugarcane,0,0
2017-2018,Kharif,Adilabad,Gudihathnoor,Sugarcane,0,0
2017-2018,Kharif,Adilabad,Utnoor,Sugarcane,0,2
2017-2018,Kharif,Adilabad,Inderavelly,Sugarcane,0,1
2017-2018,Kharif,Adilabad,Narnoor,Sugarcane,1,0
2017-2018,Kharif,Adilabad,Gadiguda,Sugarcane,0,0
2017-2018,Kharif,Adilabad,Boath,Sugarcane,0,0
2017-2018,Kharif,Adilabad,Bazarhatnoor,Sugarcane,0,0
2017-2018,Kharif,Adilabad,Neradigonda,Sugarcane,0,0
2017-2018,Kharif,Adilabad,Bheempur,Sugarcane,0,0
2017-2018,Kharif,Adilabad,Tamsi,Sugarcane,0,0
2017-2018,Kharif,Adilabad,Talamadugu,Sugarcane,0,0
2017-2018,Kharif,Adilabad,Adilabad R,Potato,0,0
2017-2018,Kharif,Adilabad,Mavala,Potato,0,0
2017-2018,Kharif,Adilabad,Adilabad U,Potato,0,0
2017-2018,Kharif,Adilabad,Jainath,Potato,0,0
2017-2018,Kharif,Adilabad,Bela,Potato,0,0
2017-2018,Kharif,Adilabad,Ichoda,Potato,0,0
2017-2018,Kharif,Adilabad,Srikonda,Potato,0,0
2017-2018,Kharif,Adilabad,Gudihathnoor,Potato,0,0
2017-2018,Kharif,Adilabad,Utnoor,Potato,0,0
2017-2018,Kharif,Adilabad,Inderavelly,Potato,0,0
2017-2018,Kharif,Adilabad,Narnoor,Potato,0,0
2017-2018,Kharif,Adilabad,Gadiguda,Potato,0,0
2017-2018,Kharif,Adilabad,Boath,Potato,0,0
2017-2018,Kharif,Adilabad,Bazarhatnoor,Potato,0,0
2017-2018,Kharif,Adilabad,Neradigonda,Potato,0,0
2017-2018,Kharif,Adilabad,Bheempur,Potato,0,0
2017-2018,Kharif,Adilabad,Tamsi,Potato,0,0
2017-2018,Kharif,Adilabad,Talamadugu,Potato,0,0
2017-2018,Kharif,Adilabad,Adilabad R,Onion,0,0
2017-2018,Kharif,Adilabad,Mavala,Onion,0,0
2017-2018,Kharif,Adilabad,Adilabad U,Onion,0,0
